Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr21	15437844	8.71e-6	4.30044671
chr21	15439702	7.665e-5	4.30163013
chr21	15439762	3.2e-6	4.30167953
chr21	15442703	2.2676e-4	4.30518132
chr21	15442806	2.488e-5	4.30556556
chr21	15443047	5.867e-5	4.30647168
chr21	15443953	8.193e-5	4.30773706
chr21	15445015	3.323e-5	4.30825031
chr21	15454531	4.842e-4	4.31573336
chr21	15455511	2.923e-5	4.31618508
chr21	15456839	3.96e-5	4.31679723
chr21	15459318	7.43e-5	4.31794584
chr21	15460110	1.321e-5	4.31815012
chr21	15462286	2.867e-5	4.31859343
chr21	15464831	3.405e-5	4.31911994
chr21	15464942	2.23e-6	4.31915445
chr21	15465149	2.92e-6	4.31919959
chr21	15465216	9.2e-7	4.31921389
chr21	15465381	2.24e-6	4.31924859
chr21	15465915	7.29e-6	4.31936136
chr21	15466379	1.177e-5	4.3195434
chr21	15466790	1.735e-5	4.31981177
chr21	15466848	3.32e-6	4.31986314
chr21	15467399	4.147e-5	4.3205046
chr21	15467738	1.2335e-4	4.32241259
chr21	15467777	1.252e-5	4.32260624
chr21	15467996	5.144e-5	4.32340199
chr21	15469185	1.4714e-4	4.32567817
chr21	15469515	1.9e-6	4.32570755
chr21	15471530	1.132e-5	4.32588262
chr21	15473128	8.98e-6	4.32602152
chr21	15473292	9.4e-7	4.3260361
chr21	15474025	4.4e-6	4.32610424
chr21	15478238	3.967e-5	4.32671829
chr21	15478599	6.48e-6	4.32681864
chr21	15479497	2.627e-5	4.32722532
chr21	15485180	8.4832e-4	4.34036164
chr21	15485511	1.628e-5	4.34061377
chr21	15486432	3.395e-5	4.34113954
chr21	15488394	6.659e-5	4.34217097
chr21	15489599	3.021e-5	4.34263894
chr21	15490199	7.31e-6	4.34275218
chr21	15490395	1.39e-6	4.34277371
chr21	15492355	9.59e-6	4.34292229
chr21	15493822	5.099e-5	4.34371239
chr21	15494147	1.108e-5	4.34388412
chr21	15495993	6.663e-5	4.3449166
chr21	15496913	7.291e-5	4.34604642
chr21	15498654	4.9581e-4	4.35373084
chr21	15500030	8.222e-5	4.35500518
chr21	15500319	1.928e-5	4.35530405
chr21	15501676	3.6721e-4	4.36099639
chr21	15504804	0.001147	4.3787804
chr21	15504963	7.588e-5	4.37995689
chr21	15506212	4.0472e-4	4.38623263
chr21	15507072	5.166e-5	4.38703366
chr21	15508422	2.146e-5	4.38736646
chr21	15508643	3.47e-6	4.38742021
chr21	15509348	1.11e-5	4.38759243
chr21	15509358	4.7e-7	4.38759976
chr21	15509823	3.812e-5	4.38819105
chr21	15510230	8.07e-6	4.38831622
chr21	15513415	0.00108933	4.40521541
chr21	15513615	2.432e-5	4.40559265
chr21	15515055	8.195e-5	4.40686411
chr21	15516124	5.744e-5	4.40775531
chr21	15516912	4.242e-5	4.40841359
chr21	15516970	3.11e-6	4.40846187
chr21	15517974	5.284e-5	4.40928181
chr21	15518030	2.08e-6	4.40931402
chr21	15518307	5.95e-6	4.40940631
chr21	15518503	2.93e-6	4.40945172
chr21	15519644	1.348e-5	4.40966097
chr21	15520411	9.35e-6	4.40980604
chr21	15521287	1.105e-5	4.40997759
chr21	15521888	1.072e-5	4.41014391
chr21	15521978	1.26e-6	4.41016352
chr21	15522109	2.25e-6	4.4101985
chr21	15522279	8.47e-5	4.41151317
chr21	15523710	0.0010774	4.42823842
chr21	15528656	5.369e-4	4.43657582
chr21	15529660	1.0887e-4	4.43826657
chr21	15530738	1.1995e-4	4.44012955
chr21	15532948	5.235e-5	4.44094266
chr21	15533174	5.35e-6	4.44102574
chr21	15534371	2.827e-5	4.44146487
chr21	15543177	2.035e-4	4.44462796
chr21	15550904	1.2639e-4	4.44659348
chr21	15551918	1.555e-5	4.44683533
chr21	15553283	2.092e-5	4.44716075
chr21	15554348	1.632e-5	4.44741462
chr21	15554536	2.88e-6	4.44745943
chr21	15554684	2.27e-6	4.44749471
chr21	15557638	4.526e-5	4.44819887
chr21	15562794	7.876e-5	4.4494246
chr21	15576442	0.00324981	4.50004513
chr21	15579941	7.251e-5	4.50117478
chr21	15581270	5.408e-5	4.50201748
chr21	15608409	0.00245016	4.54026058
chr21	15631897	0.01170348	4.7232081
chr21	15639030	4.582e-5	4.72392464
chr21	15648777	1.0986e-4	4.72564384
chr21	15657908	1.5393e-4	4.72805408
chr21	15658807	1.704e-5	4.72832083
chr21	15665743	4.8987e-4	4.73599502
chr21	15667394	1.632e-5	4.73625076
chr21	15671144	3.647e-5	4.73682234
chr21	15673720	3.736e-5	4.73740796
chr21	15674652	3.289e-5	4.73792343
chr21	15675893	1.598e-5	4.73817387
chr21	15681834	5.452e-5	4.73902878
chr21	15684982	2.993e-5	4.7394983
chr21	15687984	3.542e-5	4.74005404
chr21	15694445	8.325e-5	4.74136062
chr21	15694853	1.347e-5	4.74157199
chr21	15703007	0.00117793	4.76006905
chr21	15704954	4.2834e-4	4.76679613
chr21	15706577	5.289e-5	4.76762686
chr21	15708339	5.111e-5	4.76842978
chr21	15708387	8.9e-7	4.76844379
chr21	15711220	3.292e-5	4.76896108
chr21	15711239	2.6e-7	4.76896515
chr21	15711341	1.57e-6	4.76898977
chr21	15711965	1.002e-5	4.76914718
chr21	15712084	1.81e-6	4.76917564
chr21	15712124	5.8e-7	4.76918471
chr21	15712318	2.68e-6	4.76922677
chr21	15712634	4.3e-6	4.76929433
chr21	15712670	4.9e-7	4.76930206
chr21	15712714	6e-7	4.76931151
chr21	15712949	3.21e-6	4.76936193
chr21	15713245	4.2e-6	4.76942799
chr21	15715175	6.033e-5	4.77037616
chr21	15715338	6.36e-6	4.77047612
chr21	15715910	2.606e-5	4.77088567
chr21	15716450	2.1039e-4	4.77419229
chr21	15716626	5.95e-6	4.77428577
chr21	15716855	6.91e-6	4.77439444
chr21	15717289	1.22e-5	4.77458625
chr21	15718939	4.64e-5	4.77531554
chr21	15719962	3.023e-5	4.77579074
chr21	15720457	7.604e-5	4.7769862
chr21	15721958	9.064e-5	4.77841122
chr21	15723148	7.186e-5	4.77954109
chr21	15723266	7.14e-6	4.77965343
chr21	15724425	7.049e-5	4.78076179
chr21	15727091	9.0938e-4	4.79506363
chr21	15728187	3.823e-5	4.79566497
chr21	15728580	1.371e-5	4.79588056
chr21	15728900	1.116e-5	4.79605608
chr21	15730091	2.323e-5	4.79642149
chr21	15731782	1.023e-5	4.79658236
chr21	15732981	7.47e-6	4.79669985
chr21	15733353	2.41e-6	4.79673779
chr21	15733867	3.52e-6	4.7967931
chr21	15734423	4.47e-6	4.79686336
chr21	15734470	6e-7	4.79687286
chr21	15734753	6.24e-6	4.7969711
chr21	15734924	1.63e-6	4.79699678
chr21	15735083	1.83e-6	4.79702551
chr21	15739809	9.983e-5	4.79859686
chr21	15741952	1.266e-5	4.79879609
chr21	15742386	2.3e-6	4.79883234
chr21	15742759	2.25e-6	4.7988677
chr21	15748916	6.903e-5	4.79995485
chr21	15749436	3.44e-6	4.80000908
chr21	15750106	6.72e-6	4.80011492
chr21	15755093	9.116e-5	4.80155111
chr21	15755877	9.8200000000000008e-06	4.80170585
chr21	15763066	2.1142e-4	4.80503849
chr21	15763831	0.00233795	4.8418935
chr21	15766492	0.00710247	4.95387457
chr21	15767976	4.573e-5	4.95459566
chr21	15768844	2.627e-5	4.95500983
chr21	15770435	4.641e-5	4.9557417
chr21	15777442	1.8858e-4	4.95871701
chr21	15780469	8.118e-5	4.95999803
chr21	15781113	1.732e-5	4.96027139
chr21	15784966	1.0403e-4	4.96191353
chr21	15785386	1.15e-5	4.96209506
chr21	15787817	6.798e-5	4.96316836
chr21	15789478	5.76e-5	4.96407783
chr21	15791807	0.00259159	5.00500379
chr21	15792309	8.2611e-4	5.01804996
chr21	15795920	0.00136461	5.03960525
chr21	15802591	1.2019e-4	5.04150455
chr21	15806025	5.395e-5	5.0423573
chr21	15807692	2.574e-5	5.04276416
chr21	15811768	6.583e-5	5.04380511
chr21	15813718	3.12e-5	5.04429857
chr21	15814634	1.659e-5	5.04456097
chr21	15814774	1.473e-5	5.04479395
chr21	15814903	4.55e-6	5.04486598
chr21	15820189	7.2859e-4	5.05639245
chr21	15820501	3.194e-5	5.05689777
chr21	15820763	1.902e-5	5.05719861
chr21	15822288	9.99e-6	5.05735664
chr21	15822685	2.58e-6	5.05739739
chr21	15825848	7.373e-5	5.05856428
chr21	15825896	3.74e-6	5.05862344
chr21	15826379	1.719e-5	5.05889556
chr21	15826457	2.89e-6	5.05894136
chr21	15827671	8.726e-5	5.06032241
chr21	15829628	7.83e-5	5.06156191
chr21	15830202	2.111e-5	5.06189608
chr21	15831778	5.198e-5	5.06271904
chr21	15832318	1.764e-5	5.06299831
chr21	15832830	1.664e-5	5.0632618
chr21	15833575	2.411e-5	5.06364359
chr21	15833601	9.4e-7	5.06365847
chr21	15833637	2.01e-6	5.06369025
chr21	15834506	6.94e-5	5.06478916
chr21	15835745	2.023e-5	5.06510946
chr21	15836182	6.49e-6	5.06521231
chr21	15836442	2.94e-6	5.06525889
chr21	15836648	1.85e-6	5.06528823
chr21	15836776	2.81e-6	5.06533267
chr21	15837816	9.805e-5	5.0668855
chr21	15837904	2.03e-6	5.06691773
chr21	15837982	7.4e-7	5.06692945
chr21	15838437	3.843e-5	5.0675381
chr21	15838463	7.4e-7	5.06754983
chr21	15838754	1.01e-6	5.06756585
chr21	15839100	1.2e-6	5.0675849
chr21	15839210	3.9e-7	5.06759101
chr21	15839326	4.1e-7	5.06759758
chr21	15839565	8.8e-7	5.0676115
chr21	15839758	7.1e-7	5.06762275
chr21	15840367	2.5e-6	5.0676623
chr21	15840394	3.7e-7	5.06766815
chr21	15840970	1.399e-5	5.06788974
chr21	15841940	3.541e-5	5.06845069
chr21	15842003	3.36e-6	5.06850397
chr21	15842175	9.64e-6	5.06865662
chr21	15842711	2.444e-5	5.06904387
chr21	15842986	1.265e-5	5.06924436
chr21	15843533	2.563e-5	5.06965048
chr21	15844000	1.8e-5	5.06993569
chr21	15844564	6.593e-5	5.07098038
chr21	15844836	2.4382e-4	5.07484365
chr21	15845475	5.723e-4	5.08391206
chr21	15845999	4.6577e-4	5.09129271
chr21	15846331	4.41e-6	5.09136265
chr21	15846816	5.91e-6	5.09145629
chr21	15847271	5.48e-6	5.09154309
chr21	15847835	6.79e-6	5.09165064
chr21	15852173	5.522e-5	5.09252593
chr21	15852597	4.866e-5	5.09329729
chr21	15853218	3.3796e-4	5.09865499
chr21	15858948	0.00168268	5.1253405
chr21	15859200	7.3e-6	5.12545633
chr21	15859730	3.575e-5	5.12602329
chr21	15860686	4.628e-5	5.12675736
chr21	15860764	2.6e-6	5.12679866
chr21	15860950	4.82e-6	5.12687511
chr21	15861153	5.23e-6	5.12695812
chr21	15861533	1.001e-5	5.12711693
chr21	15861852	9.52e-6	5.12726789
chr21	15862215	1.093e-5	5.12744129
chr21	15862272	1.72e-6	5.12746853
chr21	15862410	2.03e-6	5.1275008
chr21	15862909	2.2e-6	5.12753575
chr21	15863176	2.47e-6	5.12757493
chr21	15863833	8.895e-5	5.12898602
chr21	15863898	5.01e-6	5.1290655
chr21	15864547	4.622e-5	5.12979881
chr21	15865304	5.006e-5	5.13059296
chr21	15865318	1.75e-6	5.1306208
chr21	15865582	4.668e-5	5.13136146
chr21	15878737	0.00461382	5.20462317
chr21	15880122	1.751e-5	5.20490116
chr21	15880768	9.2e-6	5.20504732
chr21	15886208	0.0010009	5.22094787
chr21	15899439	0.00116592	5.23948542
chr21	15901910	6.485e-5	5.24051663
chr21	15908508	9.222e-5	5.24198372
chr21	15912544	5.147e-5	5.24280276
chr21	15913991	1.864e-5	5.24309946
chr21	15914163	3.99e-6	5.24316303
chr21	15916133	7.855e-5	5.24441327
chr21	15919968	4.1685e-4	5.25104952
chr21	15920147	1.708e-5	5.25132146
chr21	15920199	3.96e-6	5.25138449
chr21	15921803	8.663e-5	5.25276378
chr21	15921920	1.923e-5	5.2530699
chr21	15921999	1.905e-5	5.25337316
chr21	15922039	9.99e-6	5.2535323
chr21	15922118	1.982e-5	5.25384781
chr21	15922491	9.378e-5	5.25534095
chr21	15922925	1.09e-4	5.2570765
chr21	15923677	1.188e-5	5.25726575
chr21	15923756	1.21e-6	5.25728497
chr21	15924559	1.196e-5	5.25747541
chr21	15925067	7.9e-6	5.2576012
chr21	15925867	3.795e-5	5.2582056
chr21	15929972	9.201e-5	5.25967126
chr21	15932167	1.304e-4	5.26174876
chr21	15932650	6.079e-5	5.26271728
chr21	15940266	0.00908258	5.40749604
chr21	15952748	4.1237e-4	5.41407455
chr21	15954274	9.125e-5	5.41553045
chr21	15955494	3.182e-5	5.4160382
chr21	15955507	2.9e-7	5.41604283
chr21	15958825	6.725e-5	5.41711605
chr21	15963569	1.7063e-4	5.41983992
chr21	15972196	7.7738e-4	5.43225635
chr21	15976732	1.3637e-4	5.43443512
chr21	15980909	2.3149e-4	5.43813461
chr21	15981090	9.7e-6	5.43828967
chr21	15982152	5.664e-5	5.43919494
chr21	16066443	0.00246947	5.47887047
chr21	16066882	3.35e-6	5.47892434
chr21	16068199	9.43e-6	5.47907583
chr21	16231805	0.00783874	5.60631269
chr21	16236064	0.00379389	5.66791046
chr21	16237302	1.3841e-4	5.67015785
chr21	16238543	1.1136e-4	5.67196621
chr21	16242346	1.7349e-4	5.67478414
chr21	16242894	1.3572e-4	5.67698868
chr21	16244013	2.719e-5	5.67743038
chr21	16247081	4.427e-5	5.67814963
chr21	16248768	2.35e-5	5.67853143
chr21	16256439	1.1348e-4	5.68037621
chr21	16259246	5.394e-5	5.68125331
chr21	16262672	7.189e-5	5.6824225
chr21	16262839	5.94e-6	5.68251912
chr21	16264147	5.263e-5	5.68337508
chr21	16264281	7.66e-6	5.68349964
chr21	16265589	1.0711e-4	5.68524188
chr21	16266845	6.5816e-4	5.69594804
chr21	16268119	7.904e-5	5.69723392
chr21	16270576	1.4769e-4	5.69963687
chr21	16272878	1.2912e-4	5.70173798
chr21	16283358	2.1735e-4	5.70527717
chr21	16284520	2.692e-5	5.70571562
chr21	16285114	4.29e-5	5.70641419
chr21	16285225	7.45e-6	5.70653552
chr21	16285299	3.56e-6	5.70659351
