Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr22	16712910	0.00204962	6.45860966
chr22	16713566	3.683e-5	6.45922522
chr22	16717565	2.0592e-4	6.46266774
chr22	16718397	1.892e-5	6.46298403
chr22	16721681	7.275e-5	6.46420058
chr22	16726129	9.875e-5	6.46585225
chr22	16728826	7.49e-6	6.46597758
chr22	16728882	8e-8	6.46597898
chr22	16733187	6.52e-6	6.46608809
chr22	16733797	2.7e-6	6.46613327
chr22	16736425	8.526e-5	6.46756018
chr22	16737494	7.05e-6	6.46767816
chr22	16739133	1.986e-5	6.46801054
chr22	16742194	3.313e-5	6.46856513
chr22	16743102	1.066e-5	6.46874364
chr22	16744470	1.808e-5	6.46904634
chr22	16745551	4.02e-5	6.46971944
chr22	16745847	3.3e-6	6.46977471
chr22	16745912	6.9e-7	6.46978631
chr22	16746191	2.93e-6	6.46983538
chr22	16746574	4.02e-6	6.46990268
chr22	16748439	1.988e-5	6.47023572
chr22	16748568	4.965e-5	6.47106724
chr22	16748704	8.55e-6	6.47121042
chr22	16749108	2.839e-5	6.47168594
chr22	16749481	6.58e-6	6.47179607
chr22	16751753	3.9e-5	6.47244933
chr22	16752556	1.948e-5	6.47277572
chr22	16756240	3.7306e-4	6.4790268
chr22	16760960	7.075e-5	6.48021262
chr22	16761569	9.54e-6	6.48037253
chr22	16763636	3.385e-5	6.48093991
chr22	16765615	4.485e-5	6.48169187
chr22	16768487	9.309e-5	6.4832528
chr22	16769795	2.9746e-4	6.4882411
chr22	16770431	4.047e-5	6.48891977
chr22	16770883	3.448e-5	6.4894981
chr22	16771674	6.525e-5	6.49059244
chr22	16772761	9.475e-5	6.49218168
chr22	16775763	2.6897e-4	6.4966939
chr22	16778183	6.153e-5	6.49772625
chr22	16780622	6.025e-5	6.49873731
chr22	16782022	3.461e-5	6.4993182
chr22	16787483	1.2107e-4	6.50135072
chr22	16796453	2.3261e-4	6.5052577
chr22	16796480	2.7e-7	6.50526218
chr22	16801972	4.394e-5	6.50600054
chr22	16804248	1.64e-5	6.50627608
chr22	16808548	3.615e-5	6.50688363
chr22	16808838	4.343e-5	6.50761368
chr22	16810348	5.959e-5	6.50861549
chr22	16811498	4.564e-5	6.50938279
chr22	16812868	5.366e-5	6.510285
chr22	16813039	4.89e-6	6.51036723
chr22	16813974	1.899e-5	6.51068658
chr22	16814152	3.37e-6	6.51074322
chr22	16814512	6.73e-6	6.5108563
chr22	16814580	1.27e-6	6.51087765
chr22	16817076	4.628e-5	6.51165589
chr22	16818253	1.84e-6	6.51168684
chr22	16819247	1.54e-6	6.51171274
chr22	16819462	3.3e-7	6.51171829
chr22	16821044	2.41e-6	6.51175889
chr22	16829676	5.4268e-4	6.52089204
chr22	16829786	3.52e-6	6.52095131
chr22	16830175	1.241e-5	6.5211601
chr22	16830384	6.64e-6	6.52127182
chr22	16831428	3.289e-5	6.52182546
chr22	16831673	1.752e-5	6.52212036
chr22	16832274	1.759e-5	6.52241642
chr22	16834613	6.777e-5	6.52355728
chr22	16837820	2.872e-5	6.52404094
chr22	16838162	2.95e-6	6.52409055
chr22	16839165	8.86e-6	6.52423979
chr22	16840231	9.53e-6	6.5244003
chr22	16840665	8.301e-5	6.5257982
chr22	16841333	1.4716e-4	6.52827665
chr22	16842641	1.4918e-4	6.53078922
chr22	16842923	7e-6	6.53090714
chr22	16844584	4.055e-5	6.53159018
chr22	16848953	1.0363e-4	6.53333617
chr22	16849282	9.78e-6	6.53350102
chr22	16856411	2.9388e-4	6.53845479
chr22	16857154	4.838e-5	6.53927037
chr22	16860571	6.2288e-4	6.54977245
chr22	16860836	8.25e-5	6.55116349
chr22	16861068	1.1671e-4	6.55313132
chr22	16863602	0.00239075	6.59344791
chr22	16870024	0.00605779	6.69564291
chr22	16870501	4.3162e-4	6.7029246
chr22	16871076	1.1288e-4	6.704829
chr22	16879355	7.3645e-4	6.71725982
chr22	16886836	6.3006e-4	6.72789951
chr22	16887050	1.975e-5	6.72823307
chr22	16893205	8.9842e-4	6.74341019
chr22	16896652	0.00161346	6.77067229
chr22	16897768	2.3448e-4	6.77463455
chr22	16900254	5.2233e-4	6.78346213
chr22	16901343	2.288e-4	6.78732912
chr22	16907889	0.00140084	6.81101437
chr22	16907988	2.116e-5	6.81137213
chr22	16913924	0.00126276	6.83273035
chr22	16915131	5.5987e-4	6.84220057
chr22	16916051	0.00241043	6.88297559
chr22	16916865	0.00213304	6.91905986
chr22	16918242	6.156e-4	6.92947474
chr22	16919941	2.6465e-4	6.93395265
chr22	16920188	3.128e-5	6.93448199
chr22	16920365	2.24e-5	6.93486102
chr22	16921221	1.0787e-4	6.93668635
chr22	16923728	3.1771e-4	6.9420632
chr22	16925566	2.3607e-4	6.94605888
chr22	16926041	6.101e-5	6.9470916
chr22	16926334	3.765e-5	6.94772882
chr22	16928160	2.3526e-4	6.95171129
chr22	16929688	2.2997e-4	6.95560462
chr22	16935124	0.00453907	7.03247426
chr22	16937442	0.00202153	7.06671388
chr22	16939602	1.4523e-4	7.0691741
chr22	16943808	4.919e-5	7.07000749
chr22	16944729	8.28e-6	7.07014779
chr22	16945562	7.49e-6	7.07027478
chr22	16946660	1.091e-5	7.0704597
chr22	16951892	9.016e-5	7.07198815
chr22	16956219	7.657e-5	7.0732865
chr22	16957821	2.855e-5	7.07377067
chr22	16958128	5.62e-6	7.07386591
chr22	16958987	5.334e-5	7.07477043
chr22	16962268	5.167e-5	7.07564691
chr22	16964355	2.821e-5	7.07612551
chr22	16964396	7.9e-7	7.07613899
chr22	16971003	0.00222693	7.11393225
chr22	16971958	4.6845e-4	7.12188274
chr22	16972056	2.577e-5	7.12232015
chr22	16975969	3.3293e-4	7.12797191
chr22	16984664	8.6892e-4	7.14273016
chr22	16985777	9.7324e-4	7.15926146
chr22	17003269	0.00298676	7.21004609
chr22	17008000	5.7742e-4	7.2198668
chr22	17008532	5.667e-5	7.22083073
chr22	17025236	0.00198566	7.25463711
chr22	17027973	5.377e-4	7.26379312
chr22	17264309	0.09745078	8.94621358
chr22	17264348	7.64e-6	8.94634554
chr22	17264898	2.573e-5	8.94678969
chr22	17267792	1.3322e-4	8.94909015
chr22	17267802	4.5e-7	8.949098
chr22	17269781	8.907e-5	8.95063615
chr22	17270855	1.1466e-4	8.95261648
chr22	17282971	0.00212162	8.98928445
chr22	17285711	4.3629e-4	8.99682607
chr22	17286673	1.1841e-4	8.99887299
chr22	17288156	1.8199e-4	9.0020193
chr22	17290317	3.1778e-4	9.00751376
chr22	17290517	4.27e-5	9.0082521
chr22	17291310	1.131e-4	9.01020769
chr22	17291585	3.127e-5	9.01074842
chr22	17295070	3.6039e-4	9.01698133
chr22	17298299	2.399e-4	9.02113121
chr22	17299510	8.685e-5	9.02263372
chr22	17310163	7.2948e-4	9.03526109
chr22	17310953	6.412e-5	9.036371
chr22	17311547	3.504e-5	9.03697762
chr22	17312067	2.876e-5	9.03747553
chr22	17314149	1.1089e-4	9.03939542
chr22	17314604	1.481e-5	9.03965177
chr22	17322811	2.4817e-4	9.04395079
chr22	17326099	9.889e-5	9.04566424
chr22	17329183	8.327e-5	9.04710727
chr22	17330757	7.393e-5	9.0483885
chr22	17336336	4.103e-4	9.05550162
chr22	17337894	1.1361e-4	9.05747137
chr22	17339972	1.5131e-4	9.06009515
chr22	17340182	1.3154e-4	9.06237614
chr22	17340555	2.8278e-4	9.06727963
chr22	17341458	8.3466e-4	9.08175388
chr22	17341842	0.00025090000000000003	9.08610495
chr22	17341925	1.033e-5	9.08628403
chr22	17345469	1.5147e-4	9.08891142
chr22	17345778	1.51e-5	9.08917329
chr22	17346885	6.29e-5	9.09026443
chr22	17346979	4.57e-6	9.09034377
chr22	17348025	4.328e-5	9.09109464
chr22	17353235	1.96e-4	9.09449586
chr22	17353959	2.581e-5	9.09494373
chr22	17354997	3.708e-5	9.09558725
chr22	17356117	4.001e-5	9.09628171
chr22	17356651	1.91e-5	9.09661321
chr22	17360280	1.6154e-4	9.0994176
chr22	17363106	0.00248655	9.14259185
chr22	17363574	2.874e-5	9.14309091
chr22	17364682	3.809e-5	9.14375231
chr22	17365931	4.303e-5	9.14449956
chr22	17367682	6.092e-5	9.14555767
chr22	17370103	8.635e-5	9.14705765
chr22	17379326	3.2342e-4	9.15267846
chr22	17382662	6.905e-5	9.15387866
chr22	17385592	5.385e-5	9.15481495
chr22	17400579	4.5498e-4	9.16273191
chr22	17401167	2.05e-6	9.16276766
chr22	17402151	3.362e-5	9.16335277
chr22	17404667	1.28e-6	9.16337511
chr22	17404890	1.1e-7	9.16337704
chr22	17405276	1.9e-7	9.16338037
chr22	17406998	4.263e-5	9.16412244
chr22	17408086	4e-7	9.16412936
chr22	17409626	5.5e-6	9.1642251
chr22	17410251	5.504e-5	9.16518337
chr22	17411033	3.6e-7	9.16518957
chr22	17411293	4e-8	9.16519018
chr22	17412089	1e-7	9.16519193
chr22	17413401	1.7e-7	9.16519481
chr22	17415432	2.6e-7	9.16519926
chr22	17421289	7.4e-7	9.16521211
chr22	17421497	3e-8	9.16521257
chr22	17422967	2e-7	9.16521609
chr22	17423003	1e-8	9.16521618
chr22	17423242	3e-8	9.16521677
chr22	17424156	4.95e-6	9.16530308
chr22	17424561	2.682e-5	9.16577032
chr22	17424664	1.96e-6	9.16580453
chr22	17425189	5e-8	9.16580541
chr22	17425935	6e-8	9.16580647
chr22	17427526	1.3e-7	9.16580874
chr22	17427570	2e-8	9.16580909
chr22	17427844	2.8e-7	9.16581397
chr22	17427960	2.9e-7	9.16581907
chr22	17431130	3.598e-5	9.16644624
chr22	17431469	4.53e-6	9.16652518
chr22	17431533	2.2e-7	9.16652909
chr22	17431742	7e-8	9.16653023
chr22	17432277	3e-8	9.16653073
chr22	17432344	0	9.16653078
chr22	17436907	2.1e-7	9.16653449
chr22	17439663	1.3e-7	9.16653672
chr22	17444047	2e-7	9.16654027
chr22	17449307	2.4e-7	9.16654452
chr22	17452481	1.5e-7	9.16654709
chr22	17452963	2e-8	9.16654745
chr22	17453160	1e-7	9.16654918
chr22	17456900	6.49e-6	9.16666247
chr22	17458232	2.026e-5	9.16701621
chr22	17459109	9e-8	9.16701773
chr22	17459243	1e-8	9.16701796
chr22	17459756	5e-8	9.16701885
chr22	17460737	1e-7	9.16702054
chr22	17462469	1.7e-7	9.16702354
chr22	17467639	6.1e-6	9.16713011
chr22	17468719	3.68e-6	9.16719443
chr22	17470218	5.39e-6	9.16728851
chr22	17472234	4.886e-5	9.16814226
chr22	17472254	2.02e-6	9.16817756
chr22	17472813	1.073e-5	9.168365
chr22	17473196	1.2e-7	9.16836704
chr22	17473520	1e-7	9.16836877
chr22	17473834	9e-8	9.16837042
chr22	17473973	4e-8	9.16837115
chr22	17475509	4.6e-7	9.16837922
chr22	17476219	2.1e-7	9.16838294
chr22	17476532	9e-8	9.16838459
chr22	17477136	1.8e-7	9.16838776
chr22	17477901	2.4e-7	9.16839193
chr22	17478152	2.622e-5	9.16885018
chr22	17478740	3.6e-7	9.16885641
chr22	17480520	1.624e-5	9.16914022
chr22	17480674	1.094e-5	9.1693314
chr22	17481991	4.99e-6	9.16941861
chr22	17482150	7.1e-7	9.16943106
chr22	17483102	4.247e-5	9.17017348
chr22	17488031	6.672e-5	9.17134027
chr22	17488240	3.15e-6	9.17139534
chr22	17490210	4.607e-5	9.17220103
chr22	17490905	5.515e-5	9.17316567
chr22	17497629	1.7438e-4	9.17621688
chr22	17498506	2.897e-5	9.17672386
chr22	17498929	1.363e-5	9.17696234
chr22	17506879	0.00355691	9.23923272
chr22	17507403	1.0953e-4	9.2411503
chr22	17508470	2.1205e-4	9.24486291
chr22	17508637	3.332e-5	9.2454463
chr22	17508994	7.128e-5	9.2466943
chr22	17510157	2.3098e-4	9.25073884
chr22	17512996	5.6313e-4	9.260601
chr22	17513922	0.00114039	9.28057374
chr22	17521566	0.00940952	9.4454433
chr22	17521995	1.5442e-4	9.44814897
chr22	17523275	2.3486e-4	9.45226454
chr22	17524075	1.6047e-4	9.45507657
chr22	17524134	1.292e-5	9.45530292
chr22	17524783	1.621e-4	9.45814372
chr22	17524815	8.16e-6	9.45828678
chr22	17529076	0.00117841	9.47894322
chr22	17529162	2.164e-5	9.47932262
chr22	17530216	2.2545e-4	9.48327472
chr22	17530671	2.37e-5	9.48369019
chr22	17531097	2.237e-5	9.48408235
chr22	17535453	2.2265e-4	9.48798656
chr22	17535881	9.38e-6	9.48815106
chr22	17536489	1.31e-5	9.4883808
chr22	17541939	2.923e-5	9.48889349
chr22	17541963	1.1e-7	9.48889538
chr22	17542641	3.06e-6	9.48894904
chr22	17543170	2.19e-6	9.48898753
chr22	17544759	5.73e-6	9.48908808
chr22	17545158	1.3e-6	9.48911082
chr22	17546560	3.42e-6	9.48917082
chr22	17548487	4.401e-5	9.48994313
chr22	17552804	4.14e-6	9.49001584
chr22	17553921	1.07e-6	9.49003466
chr22	17555143	1.18e-6	9.49005536
chr22	17558024	3.72e-6	9.49012074
chr22	17558649	1.79e-6	9.49015212
chr22	17558798	3.512e-5	9.49076883
chr22	17560080	1.02e-5	9.49094792
chr22	17560290	8.4e-7	9.49096272
chr22	17561929	6.48e-6	9.49107645
chr22	17561981	6.4e-7	9.49108774
chr22	17564260	3.917e-5	9.49177575
chr22	17564697	1.67e-6	9.49180511
chr22	17566279	6.04e-6	9.4919112899999991
chr22	17567150	3.33e-6	9.49196981
chr22	17569422	8.69e-6	9.49212248
chr22	17570666	4.76e-6	9.49220619
chr22	17572780	9.68e-6	9.4923763
chr22	17572929	7.1e-7	9.4923887
chr22	17580380	1.0584e-4	9.49424933
chr22	17589593	5.281e-5	9.49517827
chr22	17595960	1.501e-5	9.49544236
chr22	17603290	1.0104e-4	9.49722091
chr22	17616915	9.537e-5	9.49890104
chr22	17627828	5.48e-5	9.49986707
chr22	17627886	5.4e-7	9.49987666
chr22	17630410	2.367e-5	9.500294
chr22	17637406	1.0932e-4	9.50222219
chr22	17638252	2.358e-5	9.50263815
chr22	17638446	9.52e-6	9.50280602
chr22	17640353	4.144e-5	9.5035371
chr22	17643427	2.5e-5	9.50397827
chr22	17646385	2.307e-5	9.50438534
chr22	17648456	1.641e-5	9.50467489
chr22	17650505	8.687e-5	9.50620826
